lode,tonnes,grade_gt,resource_class,status,cutoff_gt
Kara-N,2473.1,2.27,Indicated,Mined,4.0
Kara-E,637.5,6.99,Measured,Mined,4.0
Kara-E,1095.6,1.49,Indicated,Mined,3.0
Kara-S,4218.0,7.21,Measured,Unmined,1.0
Kara-N,3407.1,9.89,Indicated,Unmined,2.0
Kara-N,4235.8,10.0,Indicated,Unmined,4.0
Kara-S,2486.1,1.87,Inferred,Premined,5.0
Kara-S,777.4,9.33,Measured,Premined,2.0
Kara-S,805.7,5.66,Inferred,Mined,2.0
Kara-S,4203.7,3.84,Inferred,Premined,1.0
Kara-W,2870.5,7.07,Indicated,Unmined,4.0
Kara-N,3975.4,7.85,Inferred,Mined,1.0
Kara-W,918.3,7.23,Inferred,Premined,1.0
Kara-N,3971.6,10.54,Indicated,Mined,3.0
Kara-W,3343.0,7.29,Indicated,Premined,2.0
Kara-E,2134.3,7.8,Inferred,Unmined,4.0
Kara-N,2099.8,10.67,Inferred,Premined,1.0
Kara-W,4620.0,10.87,Measured,Mined,3.0
Kara-E,1545.7,6.41,Inferred,Unmined,1.0
Kara-S,845.1,11.72,Indicated,Mined,3.0
Kara-W,3103.9,1.98,Indicated,Premined,4.0
Kara-W,3845.6,10.54,Measured,Unmined,2.0
Kara-N,1693.4,6.57,Measured,Unmined,5.0
Kara-N,1033.9,10.63,Measured,Premined,2.0
Kara-N,2391.0,11.1,Inferred,Premined,3.0
Kara-E,4152.8,6.56,Inferred,Premined,1.0
Kara-S,1987.8,7.53,Measured,Mined,5.0
Kara-E,1852.4,10.21,Indicated,Unmined,1.0
Kara-E,331.8,1.55,Inferred,Premined,2.0
Kara-S,3452.9,3.96,Indicated,Unmined,1.0
Kara-N,2475.7,2.46,Measured,Unmined,1.0
Kara-S,1411.5,9.86,Indicated,Unmined,3.0
Kara-W,4498.3,10.37,Indicated,Mined,2.0
Kara-W,1650.3,6.73,Inferred,Mined,5.0
Kara-N,235.3,11.99,Indicated,Unmined,5.0
Kara-E,1632.7,2.19,Measured,Mined,3.0
Kara-E,4335.2,3.87,Inferred,Unmined,3.0
Kara-S,919.7,9.42,Measured,Unmined,4.0
Kara-E,3467.6,8.93,Inferred,Mined,3.0
Kara-E,4553.2,5.45,Inferred,Premined,5.0
Kara-S,1847.2,8.85,Inferred,Unmined,4.0
Kara-E,2635.1,10.3,Inferred,Unmined,2.0
Kara-E,668.5,2.41,Indicated,Unmined,5.0
Kara-S,4745.2,10.9,Inferred,Premined,2.0
Kara-E,1272.0,10.59,Indicated,Mined,3.0
Kara-E,3010.7,6.1,Measured,Mined,1.0
Kara-N,2466.7,3.14,Measured,Unmined,4.0
Kara-E,2182.9,10.58,Measured,Premined,2.0
Kara-E,2164.1,7.26,Indicated,Premined,3.0
Kara-S,3938.9,6.36,Inferred,Premined,3.0
Kara-N,222.6,4.01,Measured,Unmined,2.0
Kara-W,3969.0,9.58,Measured,Unmined,4.0
Kara-W,2136.3,11.62,Indicated,Premined,1.0
Kara-S,3707.2,11.45,Indicated,Unmined,2.0
Kara-N,3448.4,7.89,Measured,Premined,3.0
Kara-E,818.9,5.22,Inferred,Mined,2.0
Kara-N,4154.5,4.28,Indicated,Mined,5.0
Kara-E,2281.6,8.55,Measured,Mined,4.0
Kara-E,3800.6,2.81,Indicated,Premined,2.0
Kara-S,3690.4,2.44,Inferred,Premined,5.0
Kara-S,791.2,8.82,Measured,Mined,3.0
Kara-N,3050.8,1.53,Measured,Unmined,1.0
Kara-N,3510.8,5.58,Indicated,Premined,5.0
Kara-E,2477.1,2.68,Inferred,Unmined,1.0
Kara-E,2220.2,2.11,Inferred,Mined,5.0
Kara-S,2210.4,10.88,Inferred,Unmined,5.0
Kara-N,1557.0,9.63,Indicated,Premined,5.0
Kara-S,3934.2,10.15,Measured,Mined,4.0
Kara-E,969.8,7.03,Measured,Unmined,4.0
Kara-E,1325.6,1.14,Measured,Premined,5.0
Kara-W,915.9,1.99,Inferred,Premined,1.0
Kara-E,3292.8,6.02,Indicated,Mined,4.0
Kara-N,679.1,2.92,Measured,Mined,3.0
Kara-E,2244.8,2.27,Measured,Premined,2.0
Kara-S,1777.6,10.84,Inferred,Mined,1.0
Kara-E,4111.8,3.01,Indicated,Mined,4.0
Kara-E,4211.4,8.59,Indicated,Mined,2.0
Kara-N,836.1,8.99,Measured,Premined,4.0
Kara-W,4050.9,8.46,Measured,Unmined,4.0
Kara-E,3134.5,10.49,Inferred,Premined,4.0
Kara-W,742.1,5.52,Measured,Premined,3.0
Kara-E,259.3,10.55,Inferred,Unmined,5.0
Kara-S,4893.9,8.37,Indicated,Unmined,5.0
Kara-N,2277.7,8.99,Indicated,Mined,4.0
Kara-S,4227.4,7.14,Inferred,Premined,1.0
Kara-S,2626.7,6.16,Indicated,Premined,1.0
Kara-W,1739.0,4.64,Indicated,Premined,5.0
Kara-S,2842.4,5.17,Measured,Premined,4.0
Kara-W,4046.1,5.93,Indicated,Mined,3.0
Kara-N,4907.2,9.2,Measured,Premined,4.0
Kara-W,372.0,7.04,Measured,Unmined,5.0
Kara-E,4472.5,7.19,Inferred,Unmined,4.0
Kara-E,1944.0,1.6,Measured,Mined,3.0
Kara-W,3640.0,5.0,Indicated,Premined,1.0
Kara-S,210.5,4.91,Inferred,Mined,5.0
Kara-E,3570.1,1.5,Measured,Mined,2.0
Kara-W,713.4,7.72,Measured,Premined,4.0
Kara-S,2393.8,9.6,Inferred,Mined,1.0
Kara-W,423.2,7.97,Inferred,Unmined,1.0
Kara-W,2395.5,7.48,Inferred,Premined,4.0
Kara-N,2745.7,1.53,Indicated,Unmined,4.0
Kara-S,3520.7,2.91,Measured,Premined,4.0
Kara-E,2619.7,5.23,Inferred,Unmined,2.0
Kara-E,2109.8,4.77,Indicated,Mined,2.0
Kara-S,2181.2,8.7,Inferred,Unmined,3.0
Kara-E,3617.0,11.29,Inferred,Premined,2.0
Kara-S,3196.0,4.2,Indicated,Unmined,2.0
Kara-S,2618.7,8.64,Indicated,Unmined,1.0
Kara-E,2898.9,7.41,Inferred,Unmined,4.0
Kara-E,4411.9,5.65,Measured,Unmined,1.0
Kara-N,2028.2,1.58,Measured,Premined,3.0
Kara-S,4921.0,8.52,Measured,Premined,3.0
Kara-S,3817.3,1.36,Indicated,Premined,5.0
Kara-S,3763.6,7.17,Measured,Unmined,3.0
Kara-N,4647.1,5.26,Inferred,Mined,5.0
Kara-N,262.2,3.76,Inferred,Mined,2.0
Kara-E,3824.5,7.01,Inferred,Premined,2.0
Kara-E,2354.3,11.82,Measured,Premined,2.0
Kara-N,2010.6,5.71,Inferred,Mined,2.0
Kara-S,3003.1,3.81,Indicated,Mined,2.0
Kara-N,937.8,4.55,Measured,Unmined,5.0
Kara-E,2554.6,7.3,Indicated,Premined,3.0
Kara-S,4793.5,6.73,Inferred,Premined,4.0
Kara-W,641.3,3.43,Measured,Unmined,3.0
Kara-E,1931.8,3.4,Inferred,Unmined,4.0
Kara-N,750.7,4.81,Measured,Unmined,5.0
Kara-S,4802.7,8.51,Indicated,Mined,1.0
Kara-W,1431.6,8.96,Measured,Unmined,3.0
Kara-W,2536.7,4.26,Inferred,Premined,3.0
Kara-N,4751.4,2.84,Inferred,Unmined,1.0
Kara-N,1211.8,7.92,Measured,Unmined,4.0
Kara-N,1186.8,10.12,Inferred,Mined,1.0
Kara-S,314.0,8.89,Measured,Premined,1.0
Kara-N,1054.4,3.77,Measured,Unmined,2.0
Kara-E,2156.6,5.96,Indicated,Mined,3.0
Kara-N,2069.6,2.3,Measured,Unmined,5.0
Kara-N,3828.6,7.44,Inferred,Premined,3.0
Kara-N,1591.2,8.54,Inferred,Premined,3.0
Kara-W,2030.8,10.04,Measured,Mined,2.0
Kara-S,854.6,5.3,Inferred,Mined,2.0
Kara-E,3451.0,11.06,Inferred,Unmined,3.0
Kara-N,2856.9,7.11,Measured,Premined,1.0
Kara-W,2778.3,11.42,Indicated,Premined,3.0
Kara-S,2180.7,8.11,Inferred,Premined,2.0
Kara-S,1259.8,10.18,Measured,Premined,2.0
Kara-N,4286.7,11.26,Inferred,Mined,5.0
Kara-N,1595.1,1.74,Measured,Premined,5.0
Kara-W,4767.4,4.93,Inferred,Unmined,2.0
Kara-N,1568.7,1.77,Measured,Mined,4.0
Kara-W,1776.1,8.25,Inferred,Unmined,2.0
Kara-E,4077.0,11.55,Measured,Premined,3.0
Kara-S,3971.2,8.83,Inferred,Mined,3.0
Kara-E,844.7,9.06,Indicated,Mined,4.0
Kara-E,3918.9,6.36,Measured,Premined,5.0
Kara-N,4240.6,10.45,Measured,Unmined,2.0
Kara-E,3721.0,7.89,Inferred,Premined,1.0
Kara-N,4100.7,7.37,Inferred,Premined,1.0
Kara-E,2808.7,11.99,Indicated,Unmined,2.0
Kara-E,2084.0,10.81,Inferred,Unmined,3.0
Kara-S,2430.6,6.61,Indicated,Mined,5.0
Kara-N,3380.9,10.33,Inferred,Unmined,2.0
Kara-S,2341.9,2.97,Inferred,Unmined,2.0
Kara-W,4708.0,1.44,Indicated,Premined,1.0
Kara-E,1973.3,1.47,Measured,Unmined,3.0
Kara-W,2454.4,6.0,Measured,Premined,3.0
Kara-N,3577.9,6.74,Indicated,Unmined,3.0
Kara-S,2008.0,5.16,Inferred,Unmined,1.0
Kara-E,2006.4,10.98,Inferred,Mined,3.0
Kara-E,2536.9,6.3,Inferred,Premined,5.0
Kara-S,2311.5,3.53,Inferred,Unmined,3.0
Kara-S,921.2,2.73,Inferred,Unmined,1.0
Kara-S,2190.1,4.63,Measured,Mined,4.0
Kara-W,1211.4,2.77,Indicated,Premined,2.0
Kara-N,813.8,7.52,Measured,Unmined,5.0
Kara-N,4475.8,2.62,Measured,Mined,2.0
Kara-W,3076.9,7.2,Measured,Unmined,3.0
Kara-N,1239.6,7.67,Indicated,Mined,2.0
Kara-S,4185.7,7.61,Inferred,Premined,5.0
Kara-E,1005.1,8.54,Indicated,Unmined,5.0
Kara-N,1303.1,5.24,Measured,Premined,2.0
Kara-W,4167.3,7.66,Measured,Mined,5.0
Kara-N,4413.2,6.85,Measured,Premined,4.0
Kara-S,4529.5,6.93,Measured,Unmined,4.0
Kara-W,1977.8,1.48,Inferred,Mined,2.0
Kara-W,3989.9,5.19,Inferred,Unmined,5.0
Kara-N,2242.3,3.8,Measured,Premined,3.0
Kara-W,1437.5,1.06,Inferred,Premined,5.0
Kara-N,2694.9,5.13,Measured,Unmined,3.0
Kara-W,1938.9,2.7,Inferred,Unmined,3.0
Kara-E,4303.9,5.66,Indicated,Unmined,3.0
Kara-W,3823.9,5.55,Inferred,Mined,2.0
Kara-E,2883.7,6.32,Indicated,Unmined,3.0
Kara-W,3731.8,10.4,Inferred,Premined,2.0
Kara-W,3958.9,11.44,Measured,Premined,5.0
Kara-W,3973.2,9.81,Inferred,Unmined,1.0
Kara-S,2067.7,7.99,Measured,Premined,4.0
Kara-W,623.1,3.89,Indicated,Premined,5.0
Kara-N,3677.6,11.24,Indicated,Unmined,5.0
Kara-E,3615.7,7.57,Measured,Unmined,4.0
Kara-W,251.4,10.36,Inferred,Mined,2.0
Kara-N,3963.0,6.62,Inferred,Premined,5.0
Kara-S,3435.3,4.96,Inferred,Premined,2.0
Kara-N,4984.7,9.58,Indicated,Unmined,4.0
Kara-W,3013.2,6.7,Inferred,Unmined,1.0
Kara-N,2838.0,8.99,Inferred,Unmined,3.0
Kara-E,4823.8,4.04,Inferred,Premined,4.0
Kara-W,2959.6,3.87,Indicated,Unmined,1.0
Kara-N,2615.2,4.74,Measured,Unmined,3.0
Kara-E,3532.1,11.63,Inferred,Mined,2.0
Kara-E,4813.9,6.05,Indicated,Unmined,1.0
Kara-W,758.1,1.74,Inferred,Premined,2.0
Kara-E,2179.6,4.88,Inferred,Premined,3.0
Kara-S,1579.0,5.39,Inferred,Mined,1.0
Kara-S,2487.5,4.89,Inferred,Mined,2.0
Kara-S,2595.2,3.2,Inferred,Premined,3.0
Kara-S,1300.2,10.18,Inferred,Mined,2.0
Kara-N,775.4,1.86,Inferred,Mined,5.0
Kara-N,3868.4,6.96,Measured,Mined,3.0
Kara-E,2563.2,11.84,Inferred,Mined,4.0
Kara-S,4925.1,11.08,Indicated,Mined,2.0
Kara-S,459.9,9.79,Indicated,Unmined,1.0
Kara-E,2089.8,8.55,Measured,Mined,1.0
Kara-W,1715.1,1.09,Inferred,Premined,4.0
Kara-N,1762.1,7.74,Indicated,Premined,5.0
Kara-E,1338.3,6.18,Inferred,Mined,3.0
Kara-S,2594.1,3.32,Inferred,Mined,3.0
Kara-W,1542.2,2.98,Measured,Unmined,2.0
Kara-N,3659.9,9.84,Inferred,Mined,4.0
Kara-S,900.0,11.55,Measured,Mined,1.0
Kara-S,2223.3,2.48,Inferred,Unmined,5.0
Kara-E,3969.6,4.3,Inferred,Unmined,1.0
Kara-W,675.1,2.8,Measured,Mined,4.0
Kara-N,2359.3,4.68,Indicated,Mined,5.0
Kara-E,1851.9,5.53,Indicated,Unmined,5.0
Kara-S,2968.9,8.15,Inferred,Premined,3.0
Kara-E,1760.4,6.61,Inferred,Mined,1.0
Kara-W,3145.6,6.1,Measured,Premined,3.0
Kara-W,3230.1,7.29,Measured,Premined,2.0
Kara-E,1295.4,4.49,Indicated,Unmined,3.0
Kara-W,1502.0,5.89,Indicated,Unmined,5.0
Kara-W,2187.1,3.02,Measured,Premined,2.0
Kara-E,4714.1,8.71,Measured,Premined,2.0
Kara-W,694.4,1.7,Indicated,Unmined,1.0
Kara-N,3900.5,6.76,Measured,Premined,3.0
Kara-S,604.7,11.25,Indicated,Mined,2.0
Kara-S,3740.4,5.87,Measured,Premined,5.0
Kara-S,337.1,8.3,Indicated,Mined,4.0
Kara-E,2833.0,2.49,Inferred,Unmined,2.0
Kara-W,3229.0,7.99,Inferred,Mined,5.0
Kara-E,4562.8,6.3,Measured,Premined,4.0
Kara-E,1955.8,3.86,Indicated,Premined,1.0
Kara-S,1850.6,6.16,Measured,Unmined,4.0
Kara-W,1638.1,9.42,Indicated,Unmined,2.0
Kara-N,2831.4,3.07,Inferred,Mined,4.0
Kara-S,983.7,9.11,Indicated,Mined,2.0
Kara-E,580.2,7.88,Inferred,Unmined,3.0
Kara-E,3312.6,6.85,Indicated,Mined,2.0
Kara-N,1075.6,4.19,Inferred,Mined,5.0
Kara-W,1506.2,7.85,Measured,Mined,1.0
Kara-S,438.2,6.88,Measured,Premined,3.0
Kara-E,800.2,5.82,Measured,Premined,1.0
Kara-S,270.7,3.39,Indicated,Mined,4.0
Kara-E,2425.7,9.71,Indicated,Premined,2.0
Kara-N,1479.2,5.32,Inferred,Mined,2.0
Kara-S,4499.4,3.75,Indicated,Premined,1.0
Kara-S,2047.0,11.72,Measured,Unmined,1.0
Kara-S,2412.0,9.48,Inferred,Unmined,2.0
Kara-W,2067.8,11.57,Indicated,Premined,1.0
Kara-N,1415.9,8.02,Measured,Mined,1.0
Kara-S,4871.7,3.6,Indicated,Mined,1.0
Kara-S,4013.1,7.43,Indicated,Premined,1.0
Kara-N,2989.2,8.6,Inferred,Unmined,2.0
Kara-E,3899.8,3.74,Indicated,Premined,5.0
Kara-E,4668.1,11.97,Inferred,Premined,1.0
Kara-E,3294.0,8.71,Measured,Premined,4.0
Kara-S,1720.3,7.14,Inferred,Mined,4.0
Kara-S,302.5,5.16,Inferred,Premined,3.0
Kara-N,2529.5,5.81,Indicated,Unmined,4.0
Kara-S,2920.2,6.98,Indicated,Unmined,4.0
Kara-E,4364.8,7.59,Inferred,Premined,1.0
Kara-S,2357.0,10.01,Inferred,Mined,4.0
Kara-N,3924.4,6.57,Inferred,Premined,1.0
Kara-E,3924.9,3.63,Inferred,Premined,5.0
Kara-W,1111.4,8.52,Inferred,Premined,5.0
Kara-E,1748.5,8.05,Measured,Premined,5.0
Kara-N,410.1,11.32,Measured,Premined,2.0
Kara-N,2529.8,2.09,Inferred,Unmined,4.0
