lode,tonnes,grade_gt,resource_class,status,cutoff_gt
134-L3,357.0,5.08,Indicated,Mined,2.0
134-L3,676.9,8.54,Inferred,Unmined,3.0
134-L1,2111.1,3.09,Measured,Mined,1.0
134-L2,3280.2,7.57,Measured,Premined,3.0
134-L2,4946.3,9.66,Measured,Premined,5.0
134-L2,3014.6,9.94,Measured,Mined,2.0
134-L5,213.6,10.44,Measured,Premined,5.0
134-L3,4032.9,2.21,Measured,Premined,1.0
134-L3,3991.9,3.62,Indicated,Premined,2.0
134-L3,451.5,9.16,Inferred,Premined,1.0
134-L4,2351.7,4.98,Inferred,Premined,4.0
134-L5,1263.4,7.77,Inferred,Unmined,5.0
134-L3,2398.6,11.6,Measured,Mined,4.0
134-L4,3493.3,6.39,Indicated,Premined,1.0
134-L3,3119.8,1.72,Indicated,Unmined,5.0
134-L5,3618.3,5.19,Inferred,Unmined,3.0
134-L4,2626.6,5.73,Inferred,Premined,5.0
134-L2,2264.3,10.77,Indicated,Mined,4.0
134-L4,2196.8,2.05,Indicated,Mined,3.0
134-L3,4777.2,8.56,Indicated,Premined,1.0
134-L1,647.5,2.06,Inferred,Mined,2.0
134-L5,487.9,11.52,Inferred,Mined,1.0
134-L4,1897.3,8.32,Indicated,Unmined,1.0
134-L3,3082.0,4.87,Inferred,Unmined,2.0
134-L2,3352.3,3.47,Measured,Mined,5.0
134-L3,751.4,4.06,Measured,Mined,5.0
134-L5,3145.2,8.07,Measured,Unmined,3.0
134-L1,1066.0,8.73,Indicated,Mined,3.0
134-L1,1070.7,2.58,Inferred,Mined,1.0
134-L2,3756.7,11.69,Measured,Unmined,5.0
134-L2,2005.7,5.99,Measured,Mined,3.0
134-L3,3928.8,7.24,Measured,Premined,2.0
134-L2,3821.3,1.55,Measured,Mined,4.0
134-L4,2531.2,5.86,Indicated,Premined,5.0
134-L1,1856.8,2.22,Inferred,Unmined,5.0
134-L4,2729.3,4.39,Measured,Mined,5.0
134-L1,236.9,4.32,Measured,Premined,3.0
134-L3,1775.0,1.09,Inferred,Mined,2.0
134-L2,2025.0,8.74,Inferred,Unmined,3.0
134-L1,2105.9,9.16,Indicated,Premined,4.0
134-L1,4338.1,7.33,Inferred,Mined,4.0
134-L3,752.8,1.23,Indicated,Premined,5.0
134-L4,4193.7,11.12,Measured,Mined,1.0
134-L2,2291.2,5.4,Measured,Mined,3.0
134-L3,1263.5,9.57,Measured,Unmined,1.0
134-L5,2647.8,10.97,Indicated,Mined,2.0
134-L2,693.5,3.82,Measured,Unmined,2.0
134-L1,1050.3,9.5,Indicated,Mined,5.0
134-L5,2354.7,11.17,Inferred,Unmined,5.0
134-L3,4348.4,7.9,Measured,Mined,1.0
134-L4,2322.6,4.33,Indicated,Unmined,1.0
134-L3,2635.2,4.41,Indicated,Premined,1.0
134-L3,4192.1,1.84,Measured,Unmined,5.0
134-L5,2045.5,7.38,Inferred,Premined,4.0
134-L5,3328.8,4.54,Indicated,Unmined,2.0
134-L1,2362.5,9.92,Indicated,Unmined,1.0
134-L5,3301.4,1.43,Inferred,Mined,4.0
134-L5,2709.2,2.75,Indicated,Mined,4.0
134-L4,3917.4,8.47,Measured,Unmined,3.0
134-L1,1782.5,7.14,Indicated,Mined,3.0
134-L5,4391.7,4.67,Inferred,Unmined,2.0
134-L3,1689.1,8.22,Inferred,Mined,2.0
134-L5,3602.4,1.93,Inferred,Mined,3.0
134-L2,3416.6,10.12,Inferred,Unmined,5.0
134-L1,3300.9,5.66,Indicated,Premined,3.0
134-L3,1065.3,3.36,Indicated,Premined,2.0
134-L2,943.7,4.25,Measured,Unmined,5.0
134-L5,381.2,4.7,Inferred,Premined,5.0
134-L4,940.4,2.99,Inferred,Unmined,2.0
134-L4,409.7,5.01,Inferred,Premined,4.0
134-L5,1567.7,9.23,Indicated,Premined,5.0
134-L2,1685.4,9.89,Indicated,Premined,3.0
134-L5,4925.3,6.08,Indicated,Mined,5.0
134-L5,2209.6,2.78,Measured,Unmined,2.0
134-L3,450.5,6.29,Indicated,Unmined,1.0
134-L5,4285.6,4.14,Measured,Mined,4.0
134-L5,907.3,5.81,Measured,Mined,3.0
134-L1,2191.5,5.36,Indicated,Premined,4.0
134-L1,1999.6,1.31,Measured,Unmined,3.0
134-L2,860.5,4.16,Indicated,Unmined,2.0
134-L4,2353.3,1.06,Measured,Premined,3.0
134-L2,4207.8,7.04,Inferred,Unmined,5.0
134-L4,733.7,4.17,Indicated,Premined,1.0
134-L2,2215.2,9.73,Indicated,Premined,1.0
134-L4,3064.3,1.18,Inferred,Unmined,2.0
134-L2,1598.1,1.02,Indicated,Premined,5.0
134-L4,1099.1,8.35,Inferred,Mined,1.0
134-L5,2811.6,9.65,Inferred,Unmined,1.0
134-L4,4392.0,1.48,Indicated,Mined,3.0
134-L1,1914.1,1.74,Measured,Unmined,1.0
134-L5,3728.9,4.66,Measured,Mined,5.0
134-L3,4104.8,2.93,Inferred,Mined,4.0
134-L2,4095.2,1.69,Indicated,Premined,3.0
134-L2,410.3,3.19,Measured,Mined,3.0
134-L5,2111.5,9.97,Indicated,Mined,1.0
134-L2,1573.3,10.48,Measured,Unmined,3.0
134-L3,797.5,5.05,Indicated,Unmined,4.0
134-L4,1827.4,3.05,Inferred,Mined,3.0
134-L5,1480.3,1.91,Indicated,Premined,4.0
134-L5,4976.5,2.99,Indicated,Mined,1.0
134-L1,1774.0,4.25,Indicated,Unmined,4.0
134-L2,3510.9,4.87,Measured,Unmined,3.0
134-L5,4991.1,4.02,Measured,Premined,4.0
134-L3,2662.8,9.25,Measured,Premined,2.0
134-L5,3454.8,5.82,Measured,Premined,2.0
134-L3,1938.3,11.44,Measured,Unmined,2.0
134-L4,4754.4,5.09,Measured,Unmined,2.0
134-L5,1961.4,4.46,Indicated,Premined,1.0
134-L1,3731.2,6.49,Indicated,Unmined,1.0
134-L3,3919.8,8.74,Measured,Unmined,3.0
134-L4,1160.9,2.49,Measured,Mined,2.0
134-L4,4986.9,9.92,Indicated,Unmined,3.0
134-L1,2840.0,4.19,Indicated,Premined,2.0
134-L3,2642.0,2.33,Measured,Premined,2.0
134-L4,326.2,7.09,Indicated,Mined,5.0
134-L2,3137.4,1.95,Indicated,Mined,4.0
134-L5,2171.8,5.5,Inferred,Premined,2.0
134-L3,3283.2,5.95,Inferred,Unmined,3.0
134-L2,4414.2,9.58,Inferred,Unmined,2.0
134-L2,2276.6,11.02,Measured,Premined,5.0
134-L2,1659.8,2.78,Inferred,Premined,3.0
134-L5,4495.6,10.31,Indicated,Premined,5.0
134-L3,800.8,4.33,Inferred,Premined,5.0
134-L2,3040.7,7.39,Measured,Unmined,5.0
134-L5,1820.6,11.16,Measured,Premined,1.0
134-L1,4753.0,9.48,Indicated,Unmined,2.0
134-L5,2199.6,8.03,Indicated,Unmined,5.0
134-L3,3281.2,4.32,Measured,Unmined,4.0
134-L3,2377.0,8.57,Measured,Mined,4.0
134-L4,2429.3,4.74,Measured,Mined,3.0
134-L3,4881.8,2.44,Indicated,Unmined,5.0
134-L1,1731.8,6.13,Indicated,Mined,2.0
134-L2,664.7,4.19,Indicated,Unmined,4.0
134-L2,4820.9,10.93,Indicated,Unmined,3.0
134-L2,3863.0,6.48,Inferred,Mined,4.0
134-L3,2587.4,1.99,Indicated,Unmined,4.0
134-L2,1232.7,4.88,Measured,Mined,4.0
134-L5,4435.2,8.2,Indicated,Mined,5.0
134-L1,4266.4,5.74,Indicated,Unmined,3.0
134-L4,1956.5,5.41,Inferred,Unmined,2.0
134-L3,2855.5,1.81,Inferred,Mined,5.0
134-L3,4161.5,7.86,Inferred,Premined,2.0
134-L1,2090.7,9.74,Indicated,Unmined,3.0
134-L2,1155.5,6.6,Inferred,Premined,1.0
134-L1,857.8,4.66,Indicated,Unmined,4.0
134-L2,3110.1,6.67,Indicated,Unmined,3.0
134-L2,2086.2,7.78,Indicated,Unmined,3.0
134-L5,4175.8,6.86,Inferred,Unmined,3.0
134-L4,4115.6,5.05,Inferred,Premined,4.0
134-L5,1676.9,10.89,Inferred,Unmined,1.0
134-L5,2478.0,11.64,Inferred,Unmined,2.0
134-L1,3000.9,2.88,Inferred,Unmined,5.0
134-L4,909.3,8.49,Measured,Unmined,1.0
134-L2,290.9,4.45,Measured,Mined,2.0
134-L4,2608.7,7.73,Indicated,Unmined,1.0
134-L2,2689.7,7.17,Inferred,Mined,5.0
134-L4,1706.0,2.91,Inferred,Mined,5.0
134-L3,3444.2,10.54,Inferred,Unmined,3.0
134-L5,2524.1,11.53,Indicated,Unmined,3.0
134-L2,4719.1,11.8,Indicated,Unmined,2.0
134-L4,1721.8,4.84,Inferred,Mined,3.0
134-L1,2952.7,6.98,Indicated,Mined,2.0
134-L3,401.9,11.51,Measured,Mined,4.0
134-L3,3787.2,3.35,Inferred,Mined,5.0
134-L3,858.9,7.77,Inferred,Premined,2.0
134-L1,3415.2,6.84,Inferred,Premined,1.0
134-L1,2183.8,8.89,Measured,Unmined,2.0
134-L1,4829.7,11.76,Measured,Mined,4.0
134-L4,3322.6,9.32,Indicated,Mined,3.0
134-L1,4558.1,1.98,Inferred,Premined,5.0
134-L1,4583.5,2.93,Measured,Premined,4.0
134-L4,1094.3,9.24,Indicated,Premined,1.0
134-L3,2926.2,2.18,Indicated,Mined,4.0
134-L5,2716.7,10.78,Measured,Unmined,4.0
134-L3,1125.5,2.24,Measured,Unmined,4.0
134-L3,3649.3,1.15,Indicated,Mined,5.0
134-L2,1042.4,10.42,Indicated,Mined,5.0
134-L3,616.3,8.36,Measured,Premined,4.0
134-L3,4692.0,1.08,Indicated,Premined,4.0
134-L3,4779.4,4.32,Inferred,Unmined,1.0
134-L3,3337.7,8.62,Measured,Unmined,1.0
134-L4,1672.7,5.46,Inferred,Unmined,3.0
134-L1,3265.8,11.35,Indicated,Unmined,2.0
134-L2,4795.3,6.26,Indicated,Unmined,5.0
134-L3,2196.1,7.04,Indicated,Unmined,2.0
134-L2,3465.6,7.55,Measured,Unmined,4.0
134-L5,3578.1,1.86,Inferred,Premined,1.0
134-L5,4533.9,3.22,Inferred,Premined,2.0
134-L3,4301.5,5.86,Inferred,Premined,5.0
134-L4,636.5,6.61,Measured,Mined,2.0
134-L5,2194.0,7.2,Inferred,Mined,3.0
134-L1,2100.6,9.98,Inferred,Premined,5.0
134-L1,417.4,4.79,Measured,Unmined,1.0
134-L1,4933.5,6.19,Indicated,Mined,2.0
134-L2,3876.0,11.76,Inferred,Mined,3.0
134-L4,2353.0,11.09,Indicated,Mined,1.0
134-L5,838.4,10.46,Measured,Premined,5.0
134-L4,2738.4,9.01,Measured,Premined,1.0
134-L3,2422.4,8.91,Indicated,Unmined,4.0
134-L2,1388.1,4.81,Indicated,Premined,1.0
134-L1,4085.5,5.61,Measured,Premined,2.0
134-L1,684.3,1.37,Inferred,Unmined,1.0
134-L2,3754.6,5.42,Measured,Unmined,2.0
134-L1,872.7,11.93,Measured,Unmined,5.0
134-L3,2971.9,9.5,Indicated,Premined,3.0
134-L2,4931.3,6.73,Indicated,Mined,3.0
134-L1,2872.2,7.51,Inferred,Premined,4.0
134-L5,2579.0,11.7,Inferred,Unmined,4.0
134-L5,1729.9,5.58,Measured,Mined,4.0
134-L2,3821.2,6.21,Measured,Mined,2.0
134-L4,4590.8,7.19,Indicated,Unmined,5.0
134-L2,2064.4,3.8,Indicated,Unmined,1.0
134-L4,4266.2,2.02,Inferred,Premined,1.0
134-L3,2010.4,7.65,Measured,Premined,2.0
134-L5,3676.7,7.15,Indicated,Premined,3.0
134-L3,4793.7,1.17,Measured,Unmined,1.0
134-L4,4589.3,8.65,Inferred,Premined,4.0
134-L2,2850.0,9.53,Indicated,Mined,5.0
134-L3,1680.4,4.96,Indicated,Mined,1.0
134-L4,3855.8,4.52,Measured,Mined,3.0
134-L4,419.4,10.5,Inferred,Premined,1.0
134-L3,2855.9,7.42,Inferred,Mined,3.0
134-L2,1141.7,3.53,Inferred,Premined,4.0
134-L5,3342.1,8.53,Indicated,Mined,4.0
134-L4,1007.5,9.74,Measured,Premined,5.0
134-L4,1083.4,10.78,Inferred,Premined,5.0
134-L1,4227.5,1.82,Inferred,Premined,1.0
134-L4,860.0,7.94,Measured,Unmined,2.0
134-L1,1249.9,6.02,Measured,Unmined,5.0
134-L4,3364.6,1.17,Inferred,Unmined,4.0
134-L1,280.3,8.94,Inferred,Mined,1.0
134-L5,4103.2,8.41,Measured,Premined,1.0
134-L5,914.7,3.11,Inferred,Mined,3.0
134-L3,4015.7,1.87,Indicated,Mined,5.0
134-L2,4953.1,3.48,Inferred,Premined,1.0
134-L1,2145.3,5.15,Indicated,Premined,1.0
134-L2,596.9,10.3,Inferred,Mined,5.0
134-L1,4495.0,11.11,Measured,Premined,5.0
134-L4,1501.3,11.17,Inferred,Mined,5.0
134-L5,3358.9,2.97,Indicated,Premined,2.0
134-L5,892.1,10.03,Indicated,Premined,3.0
134-L2,2907.0,7.23,Indicated,Unmined,5.0
134-L3,2042.5,9.14,Inferred,Unmined,1.0
134-L5,3778.2,4.8,Measured,Mined,2.0
134-L1,1834.8,9.46,Inferred,Mined,3.0
134-L1,3243.8,9.62,Indicated,Mined,2.0
134-L3,2854.6,5.13,Measured,Unmined,5.0
134-L4,611.3,7.8,Measured,Unmined,1.0
134-L1,1486.3,5.18,Inferred,Premined,4.0
134-L3,1931.4,2.01,Indicated,Mined,3.0
134-L3,690.7,1.96,Indicated,Mined,5.0
134-L5,2659.7,2.14,Measured,Mined,5.0
134-L1,3065.2,9.63,Indicated,Premined,3.0
134-L4,2061.4,1.93,Inferred,Premined,5.0
134-L5,1014.0,5.19,Measured,Mined,3.0
134-L3,2567.0,1.7,Indicated,Mined,4.0
134-L3,2524.3,1.85,Indicated,Premined,4.0
134-L5,3160.0,6.04,Measured,Mined,1.0
134-L4,1794.6,7.82,Indicated,Mined,3.0
134-L4,4114.3,10.45,Inferred,Premined,3.0
134-L3,3095.4,8.65,Indicated,Mined,2.0
134-L4,4849.9,4.21,Inferred,Unmined,4.0
134-L5,3953.5,4.58,Indicated,Mined,3.0
134-L1,4673.9,3.2,Inferred,Premined,5.0
134-L1,4774.4,6.08,Inferred,Premined,4.0
134-L3,4190.2,1.76,Indicated,Unmined,4.0
134-L2,3240.0,3.66,Inferred,Premined,4.0
134-L4,555.0,11.9,Indicated,Unmined,4.0
134-L5,2631.7,11.12,Inferred,Mined,5.0
134-L1,3995.5,4.95,Inferred,Unmined,1.0
134-L1,3891.0,8.23,Indicated,Premined,5.0
134-L1,2903.5,8.1,Inferred,Mined,3.0
134-L4,708.5,2.08,Measured,Unmined,5.0
134-L5,2986.5,7.33,Indicated,Mined,4.0
134-L4,3907.2,7.47,Inferred,Premined,3.0
134-L1,2517.3,4.25,Measured,Premined,2.0
134-L3,1697.1,6.01,Measured,Unmined,4.0
134-L3,2485.6,5.82,Inferred,Mined,3.0
134-L1,1641.3,9.91,Measured,Premined,3.0
134-L1,3450.3,2.81,Inferred,Premined,5.0
134-L2,2849.2,4.64,Indicated,Mined,2.0
134-L4,3222.8,3.05,Inferred,Mined,4.0
134-L1,3739.5,10.71,Indicated,Unmined,4.0
134-L4,221.4,3.36,Indicated,Unmined,1.0
134-L5,688.4,10.59,Measured,Mined,3.0
134-L2,2396.2,3.89,Indicated,Unmined,3.0
134-L5,2065.5,5.32,Measured,Mined,3.0
134-L4,3163.3,9.95,Inferred,Mined,5.0
134-L5,606.8,2.47,Measured,Premined,3.0
134-L1,1078.6,8.63,Inferred,Mined,4.0
134-L5,861.8,5.22,Measured,Mined,5.0
134-L2,2863.6,6.39,Measured,Premined,3.0
134-L4,3173.2,10.52,Measured,Mined,2.0
134-L2,4113.0,11.6,Inferred,Unmined,4.0
134-L4,3486.5,5.57,Indicated,Mined,2.0
134-L1,2913.9,9.75,Measured,Mined,1.0
134-L3,1279.2,4.18,Indicated,Unmined,4.0
134-L5,2651.9,7.3,Indicated,Unmined,3.0
134-L5,4148.5,1.46,Inferred,Mined,5.0
